"","subj_idx","a_speed","a_accuracy","v_1","v_2","v_3","v_4","t","st","eta","sa","parameters"
"1",1,0.0897,0.1625,0.3431,0.1885,0.0967,0.0596,0.334,0.1,0.04,"0.0","generated"
"2",1,0.086,0.167,0.374,0.2,0.116,0.01,0.393,0.116,0.083,"0.002","estimated"
"3",2,0.0844,0.134,0.3135,0.1932,0.1588,0.0592,0.3794,0.1,0.04,"0.0","generated"
"4",2,0.081,0.133,0.326,0.197,0.141,0.01,0.44,0.12,0.072,"0.002","estimated"
"5",3,0.0775,0.1352,0.3525,0.2537,0.0753,0.0599,0.2121,0.1,0.04,"0.0","generated"
"6",3,0.078,0.139,0.383,0.274,0.093,0.01,0.265,0.108,0.092,"0.002","estimated"
"7",4,0.0868,0.168,0.3565,0.2148,0.1059,0.0343,0.3337,0.1,0.04,"0.0","generated"
"8",4,0.087,0.176,0.389,0.245,0.123,0.01,0.387,0.108,0.081,"0.002","estimated"
"9",5,0.0722,0.1617,0.3059,0.1872,0.0821,0.0546,0.2518,0.1,0.04,"0.0","generated"
"10",5,0.072,0.168,0.334,0.215,0.098,0.011,0.306,0.115,0.087,"0.002","estimated"
"11",6,0.0758,0.1337,0.3579,0.1311,0.0902,0.0703,0.3141,0.1,0.04,"0.0","generated"
"12",6,0.078,0.139,0.38,0.157,0.1,0.013,0.365,0.111,0.104,"0.002","estimated"
"13",7,0.088,0.1418,0.3538,0.1798,0.128,0.1374,0.3609,0.1,0.04,"0.0","generated"
"14",7,0.085,0.139,0.356,0.175,0.112,0.015,0.423,0.12,0.093,"0.002","estimated"
"15",8,0.0957,0.1636,0.3481,0.1706,0.1529,0.0855,0.2703,0.1,0.04,"0.0","generated"
"16",8,0.092,0.162,0.349,0.17,0.144,0.01,0.336,0.123,0.062,"0.002","estimated"
"17",9,0.0815,0.1408,0.3659,0.2656,0.1467,0.0559,0.3733,0.1,0.04,"0.0","generated"
"18",9,0.082,0.142,0.377,0.271,0.137,0.01,0.428,0.112,0.064,"0.003","estimated"
"19",10,0.0901,0.1564,0.3529,0.3144,0.1027,0.0726,0.2352,0.1,0.04,"0.0","generated"
"20",10,0.088,0.158,0.351,0.313,0.1,0.01,0.292,0.115,0.061,"0.002","estimated"
